,"Propinsi, Kab/Kota","Kecamatan, Desa/Kel",Alamat,Koordinat
4263,"JAWA TIMUR, KOTA PROBOLINGGO","KADEMANGAN, KADEMANGAN",JL TAMBORA,"-7.78488118, 113.18547974"
4264,"JAWA TIMUR, KAB. TUBAN","BANCAR, TLOGOAGUNG",DSN TAGEAN,"-6.7817333, 111.6654976"
4265,"JAWA TIMUR, KAB. PROBOLINGGO","BANTARAN, BESUK",DUSUN POLAY,"-7.85588, 113.188745"
4266,"JAWA TIMUR, KAB. MALANG","AMPELGADING, LEBAKHARJO",DSN KRAJAN I A,"-8.30590833333333, 112.916143333333"
4267,"JAWA TIMUR, LAMONGAN","BABAT, KURIPAN",PAYAMAN,"-7.1229864936322, 112.195378923789"
4268,"JAWA TIMUR, KAB. LUMAJANG","KEDUNGJAJANG, KEDUNGJAJANG",DUSUN KRAJAN,"-8.04907666666667, 113.229498333333"
4269,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, TAHUNAN",NANGGUNGAN,"-8.0075728, 111.3377876"
4270,"JAWA TIMUR, KAB. MALANG","AMPELGADING, LEBAKHARJO",KRAJAN II,"-8.23598634917289, 112.877394268289"
4271,"JAWA TIMUR, KAB. PACITAN","ARJOSARI, JATIMALANG",KRAJAN WETAN,"-8.11244857, 111.15014749"
4272,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, MOJOLANGU",JL. CANDI SAPTO ARGO NO.21,"-7.9391458, 112.6353222"
4273,"JAWA TIMUR, MALANG","NGANTANG, TULUNGREJO",DUSUN NGGANTEN,"-7.8150165, 112.3827663"
4274,"JAWA TIMUR, KOTA PASURUAN","GADINGREJO, KRAPYAKREJO",JL GATOT SUBROTO,"-7.6464254, 112.8830255"
4275,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.2192146, 113.6932889"
4276,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, LESANPURO",JL. KI AGENG GRIBIG XII,"-7.984666124025858, 112.66152053624954"
4277,"JAWA TIMUR, KOTA MALANG","SUKUN, KARANGBESUKI",JL. RAYA CANDI II / 28,"-7.9624382, 112.6127669"
4278,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN CURAH KATES PERSIL,"-8.2283947, 113.6662589"
4279,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.1995104, 113.6995026"
4280,"JAWA TIMUR, KAB. BANYUWANGI","KABAT, KEDAYUNAN",DUSUN KRAJAN,"-8.2701051, 114.3263665"
4281,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, KASIHAN",SIDOMAKMUR,"-8.09015132, 111.29489839"
4282,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, KASIHAN",SIDOMAKMUR,"-8.09910233, 111.30026896"
4283,"JAWA TIMUR, KAB. MALANG","TIRTOYUDO, GADUNGSARI",GADUNGSARI,"-8.2243402, 112.8090579"
4284,"JAWA TIMUR, KAB. PROBOLINGGO","BANYUANYAR, LIPRAK KIDUL",DUSUN ALAS,"-7.869475, 113.310868333333"
4285,"JAWA TIMUR, KAB. MALANG","WAGIR, SIDORAHAYU",DSN NIWEN,"-7.998645, 112.595146666667"
4286,"JAWA TIMUR, KOTA MALANG",", ",PERHENTIAN SUNGKAI,"-7.986116, 112.685569"
4287,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, TOKAWI",DUSUN DUWET,"-7.99535011, 111.14579946"
4288,"JAWA TIMUR, KAB. MALANG","BULULAWANG, PRINGU",JL. TERATAI,"-8.03944819, 112.64302141"
4289,"JAWA TIMUR, PACITAN","NAWANGAN, PENGGUNG",DUSUN PAGERSARI,"-7.9646309511736, 111.174362869933"
4290,"JAWA TIMUR, KAB. PACITAN","TULAKAN, JETAK",JETAK,"-8.24358213, 111.24690698"
4291,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, TLOGOWARU",JL. TLOGOWARU,"-8.038905, 112.6606494"
4292,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.216828, 113.6722228"
4293,"JAWA TIMUR, KOTA BLITAR","KEPANJENKIDUL, BENDO",JL. CIMALAYA NO. 60,"-8.0877429, 112.1720486"
4294,"JAWA TIMUR, LAMONGAN","BABAT, BULUMARGI",KEMLAGI,"-7.1396348, 112.2354632"
4295,"JAWA TIMUR, KAB. MALANG","BULULAWANG, PRINGU",DSN SIDODADI,"-8.08621038, 112.68512098"
4296,"JAWA TIMUR, KOTA MALANG","SUKUN, MULYOREJO",JL. RAWISARI,"-7.98516607, 112.59038635"
4297,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, KALIGUNG",DSN KRAJAN,"-8.3538623, 114.3144123"
4298,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL. KLAYATAN I / 17,"-8.0003196, 112.6147678"
4299,"JAWA TIMUR, KOTA SURABAYA","TEGALSARI, WONOREJO",TEMPEL SUKOREJO 6/10-B,"-7.273035, 112.728215"
4300,"JAWA TIMUR, KAB. TUBAN","TAMBAKBOYO, TAMBAKBOYO",DSN. KARANG TAWANG,"-6.8011972, 111.8372957"
4301,"JAWA TIMUR, KAB. MALANG","BULULAWANG, BAKALAN",DUSUN BANJARSARI,"-8.1297408, 112.6574127"
4302,"JAWA TIMUR, KOTA BLITAR","KEPANJENKIDUL, BENDO",JL. CICADAS NO 32,"-8.080706, 112.1667574"
4303,"JAWA TIMUR, KAB. TUBAN","BANGILAN, KUMPULREJO",DSN KUWASEN,"-6.95013, 111.769506666667"
4304,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",WATUKUDI,"-7.94395833333333, 111.224605"
4305,"JAWA TIMUR, KOTA SURABAYA","TAMBAKSARI, PACARKELING",PACARKELING 3/39,"-7.2577399, 112.7592695"
4306,"JAWA TIMUR, KAB. MALANG","BULULAWANG, SUDIMORO",JL ARJUNA,"-8.0425081, 112.642399"
4307,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, KLEPU",MARGO DADI,"-8.1698609, 111.3923969"
4308,"JAWA TIMUR, KAB. TUBAN","JENU, SUMURGENENG",DS SUMURGENENG,"-6.80373166666667, 111.970426666667"
4309,"JAWA TIMUR, KAB. PACITAN","TULAKAN, PADI",DUSUN KRAJAN,"-8.1973822, 111.2638225"
4310,"JAWA TIMUR, KAB. MALANG","PUJON, MADIREDO",DELIK,"-7.8198234, 112.4538597"
4311,"JAWA TIMUR, KAB. MALANG","WAGIR, PARANGARGO",DUSUN WAGIR,"-8.01345696207136, 112.591749569401"
4312,"JAWA TIMUR, KAB. BANYUWANGI","SRONO, SUMBERSARI",DUSUN SEMALANG,"-8.362367, 114.2233459"
4313,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, LESANPURO",JL. KI AGENG GRIBIG I / 64,"-7.982086475562985, 112.66069659894922"
4314,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN SETEMBEL,"-8.38939267907565, 114.141852004948"
4315,"JAWA TIMUR, KOTA KEDIRI","KOTA, BALOWERTI",JL. MEDANG KAMULAN NO. 42 B,"-7.80641833333333, 112.014136666667"
4316,"JAWA TIMUR, KAB. GRESIK","CERME, IKER - IKER GEGER",DUSUN JURIT,"-7.2373911, 112.5590274"
4317,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, KASIHAN",SIDOMAKMUR,"-8.10066194, 111.30333386"
4318,"JAWA TIMUR, KAB. BANYUWANGI","GAMBIRAN, GAMBIRAN",DUSUN LIDAH,"-8.38132818027474, 114.140817304757"
4319,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, PONCOKUSUMO",DESA PONCOKUSUMO,"-8.0507211, 112.8098401"
4320,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, PENGGUNG",DSN. BURAT BANYU,"-7.9735371, 111.1587482"
4321,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, PLOSO",BERUG,"-8.0301572, 111.3317464"
4322,"JAWA TIMUR, KAB. MALANG","DAU, KARANGWIDORO",DUSUN KARANG AMPEL,"-7.952325, 112.569171666667"
4323,"JAWA TIMUR, KOTA MALANG","BLIMBING, BALEARJOSARI",JL. SATRIA BARAT 536,"-7.922789, 112.6450793"
4324,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, PEGIRIAN",WONOKUSUMO KIDUL 28.,"-7.225385, 112.752811666667"
4325,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",Dsn. PLANTARAN,"-8.21321666666667, 114.19468"
4326,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.215538, 113.6727508"
4327,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, SUMBEREJO",PAGERSARI,"-8.2233269, 111.4117521"
4328,"JAWA TIMUR, KOTA MALANG","SUKUN, MULYOREJO",JL. RAWISARI,"-7.9830528, 112.5890748"
4329,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. IR. RAIS IX / 115,"-7.98599666666667, 112.61769"
4330,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.2153527, 113.6708964"
4331,"JAWA TIMUR, KAB. LAMONGAN","BABAT, TRITUNGGAL",Dsn. TESAN,"-7.09780332, 112.25068055"
4332,"JAWA TIMUR, KAB. TUBAN","PLUMPANG, SUMURJALAK",DSN SUMURGUNG,"-7.0345882, 112.0888204"
4333,"JAWA TIMUR, KAB. BANYUWANGI","SRONO, REJOAGUNG",DUSUN SUMBERGROTO,"-8.3862479, 114.31253384"
4334,"JAWA TIMUR, KAB. TUBAN","KENDURUAN, SOKOGRENJENG",DSN KAJAR,"-6.9453158, 111.7091114"
4335,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",CURAH KATES PERSIL,"-8.22798062581569, 113.66768008098"
4336,"JAWA TIMUR, KAB. NGAWI","KARANGJATI, JATIPURO",JATIPURO,"-7.45025128126144, 111.590869696811"
4337,"JAWA TIMUR, KAB. LAMONGAN","BABAT, KURIPAN",MOJOSARI,"-7.1271482, 112.20325418"
4338,"JAWA TIMUR, KAB. MALANG","TIRTOYUDO, SUMBERTANGKIL",TUMPAK LENGKONG,"-8.2307805, 112.8401563"
4339,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, NAWANGAN",DUSUN KRAJAN,"-8.0098732, 111.1818493"
4340,"JAWA TIMUR, KAB. MALANG","GEDANGAN, SEGARAN",DUSUN SUMBERKOTES WETAN,"-8.27235833333333, 112.661658333333"
4341,"JAWA TIMUR, KAB. MALANG","BULULAWANG, KREBET",JL TAUFIQIYAH BULUPAYUNG,"-8.11534504, 112.63891245"
4342,"JAWA TIMUR, KAB. SIDOARJO","BALONGBENDO, SEKETI",SEKETI SELATAN,"-7.4304757, 112.56742858"
4343,"JAWA TIMUR, KOTA MALANG","SUKUN, TANJUNGREJO",JL. KASIN JAYA III / 112,"-7.98396856, 112.62189914"
4344,"JAWA TIMUR, KOTA MOJOKERTO","PRAJURITKULON, PRAJURITKULON",LINGK. SABUK GG. III,"-7.47451101, 112.4269767"
4345,"JAWA TIMUR, KOTA PROBOLINGGO","KANIGARAN, KEBONSARI KULON",JL RAYA PANGLIMA SUDIRMAN GG PJKA 80,"-7.7591875, 113.2258597"
4346,"JAWA TIMUR, KOTA PASURUAN","GADINGREJO, KRAPYAKREJO",JL GATOT SUBROTO,"-7.6443044, 112.8759047"
4347,"JAWA TIMUR, KOTA SURABAYA","SAMBIKEREP, SAMBIKEREP",DK. BUNGKAL NO. 74,"-7.273903, 112.6528133"
4348,"JAWA TIMUR, PACITAN","NAWANGAN, PENGGUNG",DUSUN PAGERSARI,"-7.96404057182372, 111.174832256511"
4349,"JAWA TIMUR, KOTA MOJOKERTO","KRANGGAN, MERI",JL. TROPODO 733,"-7.47365354, 112.4472729"
4350,"JAWA TIMUR, KAB. TUBAN","PALANG, TEGALBANG",DSN BANJARSARI,"-6.93511665333062, 112.099284594879"
4351,"JAWA TIMUR, KAB. TUBAN","BANCAR, SEMBUNGIN",DSN SEMBUNGIN,"-6.7946874, 111.7569134"
4352,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, KASIHAN",DSN KLITIK,"-8.08382212, 111.29538919"
4353,"JAWA TIMUR, KOTA MALANG","LOWOKWARU, LOWOKWARU",JL. MAWAR I / 33,"-7.9714208, 112.63377826"
4354,"JAWA TIMUR, KAB. MALANG","PAGAK, SUMBEREJO",DUSUN BENDO,"-8.19753817, 112.55789495"
4355,"JAWA TIMUR, KAB. PACITAN","NGADIROJO, WONOSOBO",DSN.GALIH,"-8.148315, 111.359825"
4356,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",DSN. SAMBUNGREJO,"-8.195535, 114.176156666667"
4357,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, SAWOJAJAR",JL. SAWOJAJAR IX / 43,"-7.9750308, 112.6518936"
4358,"JAWA TIMUR, KAB. JEMBER","AMBULU, KARANGANYAR",DUSUN SENTONG,"-8.31177891232073, 113.611018247902"
4359,"JAWA TIMUR, LAMONGAN","BABAT, TRITUNGGAL",GROGOL,"-7.0981613, 112.2584492"
4360,"JAWA TIMUR, KOTA SURABAYA","ASEM ROWO, ASEM ROWO",TAMBAK DALAM BARU V NO. 1-B,"-7.2457892, 112.7081345"
4361,"JAWA TIMUR, KOTA MOJOKERTO","PRAJURITKULON, BLOOTO",LINGK. BLOOTO,"-7.48010978, 112.4121756"
4362,"JAWA TIMUR, KOTA MALANG","SUKOHARJO, SUKOHARJO",JL. GATOT SUBROTO II / 611-B,"-7.98303395, 112.63484227"
4363,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 2/29,"-7.22252481, 112.75324411"
4364,"JAWA TIMUR, KAB. MALANG","TUREN, KEDOK",DSN SUMBERGONG,"-8.1336497, 112.7054372"
4365,"JAWA TIMUR, KAB. MALANG","AMPELGADING, ARGOYUWONO",ARGOSUKO,"-8.1903238, 112.8873187"
4366,"JAWA TIMUR, KAB. TUBAN","SINGGAHAN, MULYOAGUNG",DSN TEGALREJO,"-6.95763038, 111.79340681"
4367,"JAWA TIMUR, KOTA MALANG","BLIMBING, BUNULREJO",JL. SERAYU SELATAN 18 A,"-7.96379076, 112.63920331"
4368,"JAWA TIMUR, KAB. TUBAN","GRABAGAN, DAHOR",SAMBUNG REJO,"-7.03371254, 112.01701706"
4369,"JAWA TIMUR, KAB. TUBAN","GRABAGAN, NGARUM",DSN GENDRUK,"-7.0136739, 111.9822479"
4370,"JAWA TIMUR, KAB. SIDOARJO","GEDANGAN, SEMAMBUNG",JL. GARUDA NO. 99,"-7.3744752, 112.7384684"
4371,"JAWA TIMUR, JEMBER","AMBULU, SUMBEREJO",DUSUN KRAJAN KIDUL,"-8.3965719, 113.5868"
4372,"JAWA TIMUR, KAB. TUBAN","BANCAR, TENGGERKULON",DUSUN TENGGERKULON,"-6.7730889, 111.7269977"
4373,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, PAGERKIDUL",GEMAHARJO,"-8.2478603, 111.3277895"
4374,"JAWA TIMUR, KOTA MALANG","KLOJEN, SAMAAN",JL. TAPAK SIRING IV / 16 B,"-7.96123948564549, 112.62626369148688"
4375,"JAWA TIMUR, KAB. TUBAN","BANCAR, NGUJURAN",DSN NGAGLIK,"-6.8209093, 111.685263"
4376,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.2167272, 113.672172"
4377,"JAWA TIMUR, KAB. BANGKALAN","AROSBAYA, BATONAONG",DSN. TORPONG,"-6.99740253388882, 112.855570055544"
4378,"JAWA TIMUR, KOTA MALANG","SUKUN, BANDUNGREJOSARI",JL.KEPUH VI/41,"-8.01289989, 112.61936123"
4379,"JAWA TIMUR, KAB. MALANG","TAJINAN, GUNUNGSARI",DUSUN BARAN,"-8.031456, 112.6867247"
4380,"JAWA TIMUR, KAB. MALANG","BULULAWANG, SUDIMORO",JL RAYA SUDIMORO NO 157,"-8.1187665, 112.6686807"
4381,"JAWA TIMUR, KAB. MALANG","NGANTANG, TULUNGREJO",DSN SAYANG,"-7.8374922, 112.384629"
4382,"JAWA TIMUR, KAB. NGAWI","KARANGJATI, LEGUNDI",LEGUNDI,"-7.4536504, 111.6179492"
4383,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",DSN. NALANGAN,"-7.9931427, 111.2545073"
4384,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN CURAHKATES,"-8.2281692, 113.6689024"
4385,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, SIDOMULYO",DUSUN BESAR,"-8.2473665, 111.1982437"
4386,"JAWA TIMUR, KOTA BATU","BATU, PESANGGRAHAN",JL HASANUDIN GG.VIII,"-7.8721182, 112.5115562"
4387,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN JUBUNG LOR,"-8.1884873, 113.6340722"
4388,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, KARANGNONGKO",PARAS,"-8.04875193884162, 112.768792023819"
4389,"JAWA TIMUR, KAB. MALANG","PAKISAJI, WADUNG",DSN KASIKON,"-8.0312751, 112.5768862"
4390,"JAWA TIMUR, KAB. PACITAN","TULAKAN, KALIKUNING",KRAJAN,"-7.3785886, 110.7682716"
4391,"JAWA TIMUR, KOTA PROBOLINGGO","KANIGARAN, KEBONSARI KULON",JL. KH. ABD HAMID GG PANDEAN 4,"-7.7579576, 113.2203102"
4392,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, GUNUNG ANYAR",GUNUNGANYAR TENGAH 103,"-7.29142106, 112.80199284"
4393,"JAWA TIMUR, KAB. PACITAN","TULAKAN, NGILE",PAGERJO,"-8.120895, 111.259951666667"
4394,"JAWA TIMUR, KAB. MALANG","DONOMULYO, DONOMULYO",KALIPAKEM,"-8.270337, 112.4311952"
4395,"JAWA TIMUR, KAB. MALANG","PAKISAJI, WONOKERSO",SEGENGGENG,"-8.07356333333333, 112.626128333333"
4396,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, PUNJUNG",DSN MUDAL,"-8.19774151, 111.16073599"
4397,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, TOKAWI",KRAJAN,"-7.98801166666667, 111.160368333333"
4398,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, TAHUNAN",NANGGUNGAN,"-8.0067427, 111.3408092"
4399,"JAWA TIMUR, KAB. MALANG","TUMPANG, SLAMET",DSN GLANGGANG,"-7.99605615761765, 112.736669776788"
4400,"JAWA TIMUR, KAB. LUMAJANG","KLAKAH, KUDUS",DSN MANGGISAN,"-8.02563333333333, 113.265438333333"
4401,"JAWA TIMUR, KAB. PONOROGO","BADEGAN, BITING",DUKUH TEMON,"-7.8709993, 111.3029067"
4402,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, BAKALAN",LINGK. BABATAN,"-7.6791409, 112.9146306"
4403,"JAWA TIMUR, KAB. PACITAN","ARJOSARI, BORANG",DSN. KAMPIR,"-8.1169777, 111.1810345"
4404,"JAWA TIMUR, KOTA SURABAYA","SEMAMPIR, WONOKUSUMO",WONOKUSUMO WETAN 4/10,"-7.22261229, 112.75281723"
4405,"JAWA TIMUR, KAB. MAGETAN","KAWEDANAN, TLADAN",TLADAN TIMUR,"-7.7162077, 111.4208371"
4406,"JAWA TIMUR, KOTA PROBOLINGGO","KEDOPOK, KARENG LOR",JL CIUJUNG,"-7.7919148, 113.1989893"
4407,"JAWA TIMUR, KAB. MAGETAN","KARAS, TEMENGGUNGAN",TEMENGGUNGAN,"-7.58231704, 111.4057651"
4408,"JAWA TIMUR, KAB. PACITAN","PACITAN, BOLOSINGO",DSN.NGLEGOK,"-8.1500116, 111.1188936"
4409,"JAWA TIMUR, KAB. MALANG","PONCOKUSUMO, PONCOKUSUMO",PONCOKUSUMO,"-8.0334838, 112.8144613"
4410,"JAWA TIMUR, KAB. JOMBANG","GUDO, JAPANAN",DSN JAPANAN,"-7.63876, 112.222745"
4411,"JAWA TIMUR, KAB. LAMONGAN","BLULUK, SUMBERBANJAR",SUMBERGONDANG,"-7.31542979, 112.14534201"
4412,"JAWA TIMUR, KAB. MAGETAN","PONCOL, ALASTUWO",GONDANG,"-7.71830361, 111.25814173"
4413,"JAWA TIMUR, KOTA MALANG","SUKUN, KARANGBESUKI",JL. RAYA CANDI V / 15,"-7.9557265, 112.6011072"
4414,"JAWA TIMUR, KAB. MALANG","KASEMBON, PONDOKAGUNG",DSN BOCOK,"-7.83607355318964, 112.317121038213"
4415,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",BENDO,"-7.95591973, 111.23921438"
4416,"JAWA TIMUR, KAB. MALANG","SUMBERMANJING WETAN, HARJOKUNCARAN",HARJOKUNCARAN,"-8.267925, 112.69907"
4417,"JAWA TIMUR, KAB. MALANG","TUREN, TUMPUKRENTENG",JL PATUK,"-8.12917333333333, 112.706876666667"
4418,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, KEPEL",LINGKUNGAN GLAGAH,"-7.6521084, 112.9237818"
4419,"JAWA TIMUR, KAB. PACITAN","TULAKAN, WONOANTI",DSN DUREN,"-8.19932470098138, 111.23102302663"
4420,"JAWA TIMUR, KOTA SURABAYA","JAMBANGAN, KARAH",BIBIS KARAH I/43,"-7.3133579, 112.7124192"
4421,"JAWA TIMUR, KAB. MALANG","NGANTANG, PURWOREJO",DSN PAKAN,"-7.8864865, 112.3834465"
4422,"JAWA TIMUR, KAB. MALANG","TUMPANG, JERU",JL. HASANUDIN,"-7.9941436, 112.7658405"
4423,"JAWA TIMUR, KAB. MALANG","JABUNG, KENONGO",KENONGO,"-7.9840293, 112.7592899"
4424,"JAWA TIMUR, KAB. MALANG","WAJAK, BLAYU",DSN BLAYU KRAJAN,"-8.1176093, 112.742586"
4425,"JAWA TIMUR, KAB. MALANG","TUMPANG, DUWET KERAJAN",DSN SWARU,"-8.02619666666667, 112.800281666667"
4426,"JAWA TIMUR, KAB. MALANG","TAJINAN, GUNUNGSARI",JL SAWO,"-8.039675, 112.698853333333"
4427,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, SIDOMULYO",DSN. KLAWE,"-8.25384333333333, 111.193976666667"
4428,"JAWA TIMUR, KAB. MALANG","GEDANGAN, SEGARAN",DUSUN SUMBERKOTES KULON,"-8.26644333333333, 112.646913333333"
4429,"JAWA TIMUR, JEMBER","AJUNG, AJUNG",DUSUN LIMBUNGSARI,"-8.2204865, 113.6837738"
4430,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, PAKIS BARU",DSN KRAJAN,"-7.94972666666667, 111.185626666667"
4431,"JAWA TIMUR, KAB. PACITAN","SUDIMORO, KARANGMULYO",BARAS,"-8.20924666666667, 111.389428333333"
4432,"JAWA TIMUR, KAB. PACITAN","TULAKAN, WONOSIDI",PAPRINGAN,"-8.135225, 111.3238134"
4433,"JAWA TIMUR, NGAWI","KARANGJATI, LEGUNDI",LEGUNDI,"-7.46273424010724, 111.578415865079"
4434,"JAWA TIMUR, KAB. MALANG","GONDANGLEGI, UREK - UREK",DUSUN KRAJAN,"-8.14733325, 112.66597726"
4435,"JAWA TIMUR, KAB. MALANG","PAGAK, TLOGOREJO",DSN DRUJU ,"-8.1949232, 112.5174778"
4436,"JAWA TIMUR, KAB. PACITAN","BANDAR, KLEDUNG",DSN. NGERJO,"-8.02904166666667, 111.282618333333"
4437,"JAWA TIMUR, KAB. BANYUWANGI","BLIMBINGSARI, WATUKEBO",DUSUN KRAJAN .,"-8.3123384, 114.2989958"
4438,"JAWA TIMUR, JEMBER","ARJASA, ARJASA",DUSUN KRAJAN,"-8.12121864873916, 113.745027529076"
4439,"JAWA TIMUR, LUMAJANG","GUCIALIT, PAKEL",DSN SUMBER DADI,"-8.0460612, 113.122237"
4440,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KEDUNGKANDANG",JL. KH. MUHAMMAD ROWI N0.10 B KED KDG TIMUR,"-7.9602117, 112.6492726"
4441,"JAWA TIMUR, KAB. BANYUWANGI","SONGGON, BAYU",Dsn. BAYUREJO,"-8.20680666666667, 114.18333"
4442,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, KATIPUGAL",DUSUN PUGALAN,"-8.25412815, 111.15833016"
4443,"JAWA TIMUR, KAB. MALANG","BULULAWANG, SUDIMORO",SUDIMORO,"-7.9515097, 112.6360231"
4444,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, NAWANGAN",DSN. TEMPEL,"-8.00701302, 111.15746984"
4445,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",DUSUN KRAJAN PLALANGAN,"-8.20586882997304, 113.633780730888"
4446,"JAWA TIMUR, KAB. MALANG","PAGELARAN, PAGELARAN",JL SINAR AGUNG,"-8.202198, 112.6278525"
4447,"JAWA TIMUR, KAB. NGANJUK","BAGOR, KUTOREJO",DESA KUTOREJO,"-7.57332153948678, 111.880568436313"
4448,"JAWA TIMUR, KAB. PACITAN","BANDAR, JERUK",BENDO,"-7.9517369, 111.2458063"
4449,"JAWA TIMUR, KAB. PACITAN","BANDAR, PETUNGSINARANG",DSN KRAJAN,"-8.06109333333333, 111.238856666667"
4450,"JAWA TIMUR, KOTA SURABAYA","GUNUNG ANYAR, RUNGKUT MENANGGAL",JL. KYAI SATARI II/5,"-7.3379075, 112.765233"
4451,"JAWA TIMUR, KAB. MALANG","TAJINAN, PURWOSEKAR",DUSUN PURBOYO,"-8.0679693, 112.7018016"
4452,"JAWA TIMUR, KAB. PACITAN","NAWANGAN, SEMPU",DSN. BRUMBUNG,"-8.0589097, 111.2377399"
4453,"JAWA TIMUR, KAB. MALANG","PUJON, SUKOMULYO",DSN. GUMUL,"-7.85674696, 112.44963035"
4454,"JAWA TIMUR, KAB. MAGETAN","BARAT, BANJAREJO",BANJAREJO,"-7.5685154, 111.4426295"
4455,"JAWA TIMUR, KAB. PACITAN","KEBONAGUNG, KETEPUNG",DSN PELEM,"-8.1762212, 111.1536351"
4456,"JAWA TIMUR, KAB. JEMBER","AJUNG, AJUNG",DUSUN AJUNG KULON,"-8.2214434, 113.6772249"
4457,"JAWA TIMUR, KAB. BANYUWANGI","KABAT, GOMBOLIRANG",DUSUN ANCAR,"-8.27310355380177, 114.272731197998"
4458,"JAWA TIMUR, JEMBER","AJUNG, WIROWONGSO",DUSUN BESUK,"-8.22019361, 113.68423282"
4459,"JAWA TIMUR, KAB. MALANG","TAJINAN, PURWOSEKAR",DSN PURBOYO,"-8.057519, 112.6941726"
4460,"JAWA TIMUR, KAB. PACITAN","TULAKAN, NGUMBUL",NGAGIK,"-8.1584118, 111.3391006"
4461,"JAWA TIMUR, KAB. PACITAN","TEGALOMBO, PUCANGOMBO",DSN. PUCANGOMBO,"-8.08468689, 111.32282754"
4462,"JAWA TIMUR, KOTA MALANG","BLIMBING, BALEARJOSARI",JL. PAHLAWAN,"-7.9274151, 112.6576703"
4463,"JAWA TIMUR, KAB. MAGETAN","PONCOL, PLANGKRONGAN",DK. PLANGKRONGAN,"-7.711981, 111.2797339"
4464,"JAWA TIMUR, JEMBER","SUKORAMBI, JUBUNG",JL. MERAK DUSUN JUBUNG LOR,"-8.1886608, 113.6333531"
4465,"JAWA TIMUR, KOTA PASURUAN","BUGUL KIDUL, BAKALAN",JL. CANDI PENATARAN BLOK O/2,"-7.6728443, 112.9172542"
4466,"JAWA TIMUR, KOTA MALANG","KEDUNGKANDANG, KOTALAMA",JL MUHARTO VII KSB 5C,"-7.9950267, 112.6439298"
